get key time: 0.00203348 s, token_id len: 55, device: disk
get key time: 0.00658465 s, token_id len: 52, device: disk
get key time: 0.00225133 s, token_id len: 52, device: disk
get key time: 0.00227369 s, token_id len: 54, device: disk
get key time: 0.00224533 s, token_id len: 54, device: disk
get key time: 0.00242537 s, token_id len: 59, device: disk
get key time: 0.00223998 s, token_id len: 54, device: disk
get key time: 0.00218412 s, token_id len: 54, device: disk
get key time: 0.01145806 s, token_id len: 54, device: disk
get key time: 0.00180147 s, token_id len: 54, device: disk
get key time: 0.00174230 s, token_id len: 54, device: disk
get key time: 0.00175913 s, token_id len: 54, device: disk
get key time: 0.00173340 s, token_id len: 54, device: disk
get key time: 0.00179616 s, token_id len: 54, device: disk
get key time: 0.00181765 s, token_id len: 54, device: disk
get key time: 0.00174134 s, token_id len: 54, device: disk
get key time: 0.00173499 s, token_id len: 54, device: disk
get key time: 0.00232673 s, token_id len: 20, device: disk
get key time: 0.01229129 s, token_id len: 18, device: disk
get key time: 0.00796934 s, token_id len: 8, device: disk
get key time: 0.00160067 s, token_id len: 8, device: disk
get key time: 0.00151410 s, token_id len: 9, device: disk
get key time: 0.00144281 s, token_id len: 9, device: disk
get key time: 0.00154829 s, token_id len: 12, device: disk
get key time: 0.00446566 s, token_id len: 8, device: disk
get key time: 0.00435390 s, token_id len: 14, device: disk
get key time: 0.01513078 s, token_id len: 4, device: disk
get key time: 0.00235604 s, token_id len: 10, device: disk
get key time: 0.00163840 s, token_id len: 10, device: disk
get key time: 0.00157318 s, token_id len: 10, device: disk
get key time: 0.00151892 s, token_id len: 10, device: disk
get key time: 0.00142737 s, token_id len: 10, device: disk
get key time: 0.00762119 s, token_id len: 10, device: disk
get key time: 0.00134762 s, token_id len: 10, device: disk
get key time: 0.00154575 s, token_id len: 10, device: disk
get key time: 0.00144940 s, token_id len: 10, device: disk
get key time: 0.00125533 s, token_id len: 10, device: disk
get key time: 0.00921045 s, token_id len: 10, device: disk
get key time: 0.00165499 s, token_id len: 10, device: disk
get key time: 0.00308341 s, token_id len: 10, device: disk
get key time: 0.00132511 s, token_id len: 10, device: disk
get key time: 0.00153405 s, token_id len: 10, device: disk
get key time: 0.00613835 s, token_id len: 10, device: disk
get key time: 0.00487479 s, token_id len: 10, device: disk
get key time: 0.00136417 s, token_id len: 10, device: disk
